[100,150]
(0,0)
(149,99) | (112,20)
(64,17,4,1)
(101,41,4,1)
(137,82,2,1)
(29,55,5,1)
(1,34,1,1)
(67,82,1,2)
(99,27,1,4)
(49,34,1,3)
(116,70,3,1)
(60,27,1,5)
(40,15,1,1)
(2,64,1,2)
(14,13,4,1)
(86,34,2,1)
(96,79,1,1)
(83,76,1,5)
(76,34,1,4)
(71,58,1,1)
(66,28,1,3)
(31,27,1,1)
(104,72,3,1)
(114,25,1,3)
(89,63,4,1)
(97,21,2,1)
(77,96,3,1)
(10,86,1,5)
(23,65,2,1)
(74,70,1,1)
(56,81,1,1)
(100,10,1,2)
(87,19,1,3)
(16,57,1,5)
(110,99,1,1)
(111,94,2,1)
(42,18,1,1)
(3,53,1,1)
(75,35,2,1)
(66,73,1,1)
(59,33,1,5)
(97,53,1,5)
(118,81,1,3)
(106,74,1,2)
(116,4,1,5)
(56,46,1,1)
(106,33,1,1)
(26,20,1,5)
(61,31,1,2)
(116,18,1,1)
(67,51,4,1)
(76,73,3,1)
(124,69,1,2)
(73,58,1,1)
(17,83,1,3)
(91,49,1,5)
(129,96,5,1)
(62,0,1,2)
(133,87,1,2)
(100,75,1,1)
(115,76,2,1)
(122,6,4,1)
(130,36,1,2)
(29,49,1,4)
(141,33,1,3)
(67,3,5,1)
(9,26,1,2)
(95,13,1,1)
(7,34,2,1)
(39,25,1,3)
(46,53,1,1)
(88,4,4,1)
(133,91,1,5)
(82,33,1,1)
(47,93,1,5)
(72,5,4,1)
(111,8,4,1)
(8,19,1,1)
(76,6,2,1)
(119,92,1,1)
(80,25,1,5)
(146,85,4,1)
(1,19,4,1)
(71,86,1,1)
(11,68,1,3)
(103,94,1,3)
(45,3,4,1)
(84,74,1,1)
(140,63,3,1)
(1,36,3,1)
(12,19,3,1)
(9,3,1,2)
(4,97,1,1)
(90,17,1,1)
(84,54,1,5)
(144,60,1,4)
(51,21,1,3)
(63,80,1,1)
(93,54,1,5)
(15,22,1,4)
(131,31,1,3)
(9,80,4,1)
(53,6,1,2)
(44,81,1,1)
(33,24,1,4)
(52,64,1,1)
(94,61,1,3)
(129,73,1,3)
(85,22,1,1)
(16,70,2,1)
(4,28,5,1)
(143,23,4,1)
(148,50,2,1)
(59,63,1,4)
(108,1,2,1)
(114,71,1,5)
(80,40,1,4)
(75,29,1,1)
(23,83,1,2)
(101,87,1,5)
(67,11,2,1)
(7,15,1,2)
(100,73,1,5)
(83,42,1,5)
(18,5,1,2)
(51,34,1,1)
(52,3,5,1)
(46,2,5,1)
(14,23,3,1)
(47,70,1,5)
(34,30,5,1)
(43,68,1,2)
(62,99,1,1)
(7,66,1,5)
(140,22,1,4)
(84,71,1,4)
(102,86,1,1)
(50,95,1,2)
(66,65,1,1)
(114,68,1,4)
(93,67,1,2)
(71,96,1,1)
(94,10,5,1)
(47,74,1,3)
(2,2,3,1)
(28,30,5,1)
(85,68,1,5)
(127,96,1,3)
(91,36,1,5)
(99,97,5,1)
(60,54,1,2)
(65,39,1,2)
(82,94,1,3)
(92,76,4,1)
(140,58,3,1)
(29,10,1,1)
(141,71,5,1)
(99,79,1,1)
(29,9,3,1)
(58,71,1,1)
(64,55,1,4)
(20,29,1,1)
(88,83,4,1)
(1,73,1,1)
(142,25,1,3)
(53,19,4,1)
(116,24,1,5)
(96,97,1,3)
(31,81,3,1)
(99,17,1,3)
(8,24,1,4)
(69,47,1,2)
(60,77,1,4)
(138,83,4,1)
(124,67,1,1)
(119,45,2,1)
(110,42,2,1)
(88,16,4,1)
(64,21,1,1)
(12,37,1,2)
(124,30,1,5)
(132,60,3,1)
(143,66,5,1)
(13,99,1,1)
(18,29,1,4)
(11,32,1,1)
(124,26,3,1)
(10,27,2,1)
(47,91,1,1)
(139,9,1,2)
(147,58,1,1)
(142,81,1,5)
(53,91,1,4)
(134,88,5,1)
(17,49,2,1)
(20,87,3,1)
(53,97,5,1)
(86,13,1,2)
(66,13,3,1)
(100,90,5,1)
(33,96,5,1)
(86,41,1,1)
(103,82,2,1)
(36,13,4,1)
(118,3,1,1)
(84,88,4,1)
(113,96,4,1)
(24,90,1,4)
(54,76,5,1)
(19,34,2,1)
(52,93,1,3)
(145,59,1,1)
(91,37,4,1)
(53,30,1,2)
(148,12,1,1)
(80,78,3,1)
(40,37,1,2)
(130,33,2,1)
(133,89,5,1)
(33,50,1,1)
(38,6,1,2)
(37,5,5,1)
(33,83,1,3)
(144,71,1,2)
(70,31,3,1)
(145,42,2,1)
(98,10,4,1)
(40,77,1,3)
(40,96,2,1)
(15,87,1,1)
(14,8,1,5)
(132,93,5,1)
(100,97,1,1)
(24,28,2,1)
(7,64,5,1)
(118,7,1,3)
(7,3,5,1)
(111,77,1,4)
(7,93,1,5)
(67,10,4,1)
(53,51,4,1)
(33,84,1,3)
(53,80,3,1)
(2,3,1,5)
(111,28,1,4)
(35,70,1,3)
(131,76,1,1)
(68,96,1,1)
(102,53,1,2)
(25,31,1,1)
(118,7,4,1)
(79,66,1,1)
(31,98,5,1)
(98,41,1,1)
(49,69,1,3)
(20,35,5,1)
(129,44,3,1)
(81,30,1,1)
(12,57,3,1)
(107,13,2,1)
(81,45,1,3)
(52,94,1,4)
(30,39,3,1)
(71,52,1,4)
(16,11,1,3)
(71,8,3,1)
(109,98,1,1)
(115,15,1,3)
(21,10,1,1)
(24,74,1,1)
(51,24,1,5)
(60,5,4,1)
(35,25,1,1)
(59,54,1,1)
(110,4,1,3)
(129,67,1,3)
(133,42,1,1)
(16,86,1,1)
(95,35,4,1)
(108,85,3,1)
(33,10,5,1)
(132,96,1,4)
(121,44,5,1)
(89,87,1,1)
(66,87,1,2)
(11,80,1,1)
(67,10,1,1)
(104,3,1,5)
(123,2,3,1)
(60,73,3,1)
(72,28,1,2)
(89,24,2,1)
(67,44,1,1)
(121,83,2,1)
(145,73,4,1)
(112,62,5,1)
(106,94,1,1)
(42,81,1,1)
(138,81,1,4)
(46,89,1,2)
(38,37,4,1)
(111,33,1,1)
(80,32,2,1)
(3,62,1,3)
(66,35,4,1)
(19,79,5,1)
(63,33,1,1)
(89,27,1,1)
(4,8,3,1)
(20,8,1,4)
(116,50,4,1)
(36,77,3,1)
(101,34,1,4)
(126,97,1,2)
(125,45,1,5)
(1,94,3,1)
(103,43,4,1)
(109,68,5,1)
(1,15,1,4)
(0,54,1,1)
(54,61,4,1)
(19,12,3,1)
(85,38,4,1)
(74,2,1,1)
(110,76,1,2)
(15,13,3,1)
(78,14,2,1)
(80,94,5,1)
(140,42,1,4)
(23,83,1,1)
(49,40,1,4)
(52,66,1,2)
(98,19,1,1)
(103,29,3,1)
(96,47,2,1)
(35,19,4,1)
(115,10,1,1)
(121,25,1,1)
(88,29,2,1)
(133,35,1,4)
(21,66,1,5)
(18,79,3,1)
(88,31,1,5)
(35,37,4,1)
(86,80,1,5)
(108,43,2,1)
(144,34,4,1)
(15,45,1,1)
(69,76,4,1)
(79,68,3,1)
(67,85,4,1)
(59,91,1,5)
(87,12,1,5)
(41,84,5,1)
(102,94,4,1)
(119,1,1,1)
(23,19,1,5)
(4,33,1,5)
(9,24,1,3)
(117,5,1,3)
(125,28,3,1)
(110,40,3,1)
(63,79,1,4)
(87,83,5,1)
(130,98,1,1)
(0,92,4,1)
(128,12,1,3)
(2,23,1,3)
(98,98,1,1)
(42,36,4,1)
(117,70,3,1)
(5,25,4,1)
(98,46,1,1)
(92,51,1,3)
(76,98,1,1)
(47,26,1,1)
(47,23,1,4)
(25,50,1,4)
(48,31,1,1)
(123,66,3,1)
(0,92,1,1)
(71,99,1,1)
(107,30,1,5)
(106,64,1,3)
(111,57,1,2)
(15,13,5,1)
(11,40,5,1)
(130,71,4,1)
(14,68,1,5)
(124,7,3,1)
(58,95,1,3)
(77,24,1,3)
(60,5,1,2)
(128,62,3,1)
(94,65,3,1)
(136,63,4,1)
(17,24,3,1)
(84,56,1,1)
(84,17,1,2)
(86,13,5,1)
(88,25,3,1)
(68,40,1,5)
(138,17,3,1)
(4,56,2,1)
(114,84,3,1)
(33,43,3,1)
(31,88,1,4)
(98,25,1,3)
(52,33,5,1)
(121,19,1,1)
(146,96,3,1)
(46,7,5,1)
(46,71,5,1)
(124,0,5,1)
(149,40,1,3)
(78,14,3,1)
(89,50,4,1)
(4,42,2,1)
(83,7,1,5)
(33,43,2,1)
(100,2,1,5)
(76,69,1,5)
(142,35,1,1)
(133,25,1,3)
(127,87,3,1)
(125,36,3,1)
(27,0,1,4)
(48,21,1,1)
(133,20,1,5)
(101,21,1,3)
(75,49,1,1)
(109,59,1,5)
(87,53,1,1)
(80,28,1,1)
(93,32,2,1)
(21,8,1,1)
(143,57,1,4)
(121,40,1,2)
(68,37,1,1)
(12,79,1,5)
(55,88,1,5)
(20,23,4,1)
(79,80,1,5)
(79,11,1,1)
(117,90,1,1)
(45,0,1,3)
(28,61,1,1)
(23,50,4,1)
(77,53,1,2)
(14,81,1,4)
(10,49,4,1)
(117,13,1,1)
(7,4,5,1)
(13,83,4,1)
(147,81,2,1)
(126,46,2,1)
(139,63,1,1)
(19,82,3,1)
(45,46,4,1)
(81,97,4,1)
(127,76,1,2)
(40,72,2,1)
(26,71,1,1)
(112,93,2,1)
(45,63,3,1)
(108,93,3,1)
(57,9,1,1)
(127,6,1,3)
(55,59,1,4)
(127,56,1,1)
(31,64,3,1)
(53,40,3,1)
(52,44,2,1)
(46,56,3,1)
(145,79,1,1)
(47,46,1,1)
(64,20,1,1)
(143,87,3,1)
(108,17,3,1)
(44,21,3,1)
(122,26,1,5)
(95,67,1,3)
(30,55,2,1)
(122,47,1,4)
(115,76,1,3)
(13,7,1,1)
(135,59,1,3)
(41,23,1,5)
(26,44,1,2)
(93,53,1,1)
(28,52,1,5)
(43,22,1,5)
(121,54,1,2)
(111,79,1,4)
(142,40,3,1)
(109,14,1,1)
(22,30,1,4)
(45,20,5,1)
(79,65,1,1)
(127,35,1,1)
(16,57,3,1)
(122,66,2,1)
(49,1,1,2)
(62,97,2,1)
(148,40,1,5)
(62,77,1,5)
(125,35,1,4)
(118,36,1,1)
(133,54,4,1)
(124,16,1,5)
(107,41,1,1)
(97,47,1,2)
(18,26,1,3)
(30,66,1,5)
(135,58,1,1)
(34,47,1,1)
(72,7,2,1)
(110,79,1,1)
(91,16,1,1)
(72,64,1,2)
(108,29,4,1)
(57,1,1,1)
(35,20,1,1)
(58,34,3,1)
(64,95,5,1)
(2,46,2,1)
(10,2,5,1)
(58,24,1,3)
(133,7,1,3)
(124,48,5,1)
(134,26,3,1)
(89,39,1,4)
(141,12,1,4)
(53,56,1,2)
(10,69,1,2)
(121,48,3,1)
(142,71,1,5)
(123,28,5,1)
(99,70,5,1)
(148,32,1,3)
(90,59,1,3)
(127,53,5,1)
(88,36,1,1)
(65,92,1,4)
(23,88,3,1)
(10,95,1,2)
(45,48,3,1)
(57,35,5,1)
(96,54,1,5)
(135,65,1,2)
(82,7,3,1)
(122,36,5,1)
(96,64,4,1)
(132,86,1,1)
(120,99,1,1)
(79,13,1,3)
(52,13,1,5)
(72,5,1,2)
(134,77,1,2)
(146,43,1,1)
(94,64,1,4)
(83,21,1,1)
(0,37,1,1)
(137,88,1,5)
(113,49,2,1)
(105,51,3,1)
(25,71,1,4)
(53,51,5,1)
(105,16,1,5)
(101,56,4,1)
(105,69,2,1)
(128,26,1,5)
(21,92,1,4)
(51,61,1,3)
(125,19,2,1)
(114,76,1,5)
(63,83,1,5)
(31,16,1,3)
(142,56,4,1)
(132,44,5,1)
(41,91,2,1)
(97,15,1,5)
(51,55,3,1)
(138,76,1,1)
(132,12,1,4)
(69,48,1,2)
(109,16,3,1)
(14,83,1,1)
(28,24,1,4)
(149,83,1,1)
(139,23,1,3)
(56,10,2,1)
(120,30,1,2)
(31,10,3,1)
(83,55,1,1)
(125,87,1,4)
(116,23,1,1)
(36,62,1,1)
(89,13,5,1)
(101,84,1,1)
(51,43,1,5)
(95,50,5,1)
(42,35,5,1)
(103,28,1,4)
(133,32,2,1)
(107,73,3,1)
(69,27,4,1)
(80,61,2,1)
(117,69,1,1)
(149,50,1,1)
(35,50,2,1)
(18,25,4,1)
(41,43,1,4)
(101,45,1,2)
(64,29,1,1)
(13,57,1,4)
(135,48,1,2)
(27,76,2,1)
(84,62,1,2)
(70,90,1,5)
(100,61,1,5)
(53,0,1,3)
(15,59,1,2)
(94,46,2,1)
(108,69,1,1)
(77,43,5,1)
(28,27,1,3)
(129,37,5,1)
(106,6,1,5)
(149,45,1,1)
(15,74,1,1)
(55,52,1,4)
(116,39,1,2)
(109,8,1,2)
(116,62,2,1)
(47,1,1,4)
(100,12,1,5)
(95,55,1,1)
(113,27,1,1)
(5,33,4,1)
(29,3,1,5)
(118,67,5,1)
(136,20,1,4)
(122,71,3,1)
(70,64,1,4)
(143,41,3,1)
(100,39,2,1)
(120,92,1,1)
(35,50,1,4)
(43,57,1,4)
(97,49,4,1)
(123,38,1,2)
(6,48,2,1)
(37,20,1,1)
(62,44,1,1)
(126,4,2,1)
(27,87,1,1)
(130,51,2,1)
(78,74,5,1)
(9,20,1,5)
(110,82,1,1)
(11,29,1,1)
(5,46,1,1)
(131,75,1,4)
(114,23,4,1)
(19,18,3,1)
(75,21,1,2)
(143,90,1,3)
(121,28,1,2)
(140,25,1,1)
(54,99,2,1)
(46,95,1,3)
(113,38,1,5)
(56,3,3,1)
(147,35,1,4)
(18,15,1,1)
(11,30,1,4)
(36,91,1,5)
(98,52,1,3)
(51,70,1,1)
(143,84,1,3)
(119,1,1,2)
(124,24,1,2)
(47,53,1,1)
(60,31,2,1)
(61,50,2,1)
(69,18,1,4)
(29,53,1,4)
(58,91,1,4)
(17,95,2,1)
(73,25,1,2)
(81,10,5,1)
(103,51,5,1)
(101,83,1,3)
(95,12,3,1)
(135,38,1,4)
(33,33,1,3)
(124,34,4,1)
(15,80,1,1)
(39,56,1,4)
(30,55,1,5)
(56,90,1,3)
(31,18,1,5)
(43,89,3,1)
(56,54,1,1)
(72,12,3,1)
(25,28,3,1)
(53,42,1,1)
(102,36,2,1)
(101,40,1,5)
(8,47,1,2)
(4,3,2,1)
(136,71,1,2)
(29,26,1,3)
(102,17,4,1)
(68,53,1,1)
(94,86,1,2)
(148,41,1,3)
(117,7,1,2)
(40,3,3,1)
(90,75,1,3)
(62,64,1,3)
(45,63,1,4)
(99,34,1,5)
(18,48,5,1)
(19,6,5,1)
(11,16,1,5)
(41,97,1,3)
(131,62,1,3)
(126,55,1,5)
(89,90,4,1)
(44,38,2,1)
(16,77,4,1)
(105,75,1,4)
(17,9,1,1)
(43,53,1,1)
(128,66,4,1)
(13,18,1,3)
(96,11,1,4)
(73,45,3,1)
(140,50,1,4)
(65,11,1,1)
(94,47,1,1)
(134,52,1,5)
(33,53,1,1)
(1,8,1,3)
(47,3,1,2)
(40,17,1,3)
(81,70,1,1)
(120,53,1,4)
(99,2,3,1)
(6,35,1,1)
(145,14,2,1)
(8,90,2,1)
(40,97,2,1)
(82,92,1,3)
(25,9,1,3)
(57,98,1,1)
(136,58,3,1)
(34,51,4,1)
(93,93,1,5)
(46,70,1,4)
(106,63,1,2)
(48,4,1,5)
(103,75,4,1)
(110,18,1,2)
(19,98,2,1)
(143,95,1,5)
(137,80,1,2)
(75,67,1,5)
(136,61,4,1)
(132,64,1,1)
(45,89,1,5)
(109,6,1,1)
(38,71,1,2)
(125,65,1,5)
(26,17,1,5)
(112,15,1,1)
(97,3,4,1)
(75,83,3,1)
(5,13,1,4)
(139,51,1,3)
(141,71,1,3)
(136,54,1,1)
(21,71,1,1)
(39,5,1,1)
(69,38,1,5)
(7,31,4,1)
(80,83,1,2)
(53,77,1,1)
(31,41,2,1)
(3,2,5,1)
(9,45,5,1)
(56,44,1,1)
(10,58,1,3)
(103,39,4,1)
(91,29,1,3)
(21,65,1,4)
(25,82,1,5)
(143,80,1,2)
(111,9,2,1)
(114,10,1,1)
(74,78,2,1)
(72,79,3,1)
(81,62,1,4)
(77,18,1,3)
(83,69,1,3)
(118,0,4,1)
(113,6,1,5)
(103,83,4,1)
(4,24,5,1)
(60,71,1,1)
(99,35,1,1)
(36,23,1,5)
(52,27,1,1)
(49,17,1,1)
(133,94,1,5)
(116,35,1,4)
(142,84,1,3)
